voucher_number,extraction_protocol_id,extraction_date,second_attempt_protocol_id,second_attempt_date,extraction_alternative_number
FLPK-0002,1,2015-09-17,,,CH-1
FLPK-0003,1,2015-09-17,,,CH-2
FLPK-0001,1,2015-09-17,,,CH-3
FLPK-0004,1,2015-09-17,,,CH-4
FLPK-0005,1,2015-09-17,,,CH-5
FLPK-0008,1,2015-09-17,,,CH-6
FLPK-0007,1,2015-09-17,,,CH-7
FLPK-0009,1,2015-09-22,,,
FLPK-0010,1,2015-09-22,,,
FLPK-0011,1,2015-09-22,,,
FLPK-0012,1,2015-09-22,,,
FLPK-0013,1,2015-09-22,,,
FLPK-0014,1,2015-09-22,,,
FLPK-0015,1,2015-09-22,,,
FLPK-0016,1,2015-09-22,,,
FLPK-0017,1,2015-09-22,,,
FLPK-0018,1,2015-09-22,,,
FLPK-0019,2,2015-09-22,,,
FLPK-0020,2,2015-09-22,,,
FLPK-0021,2,2015-09-22,,,
FLPK-0022,2,2015-09-22,,,
FLPK-0023,2,2015-09-22,,,
FLPK-0024,2,2015-09-22,,,
FLPK-0025,2,2015-09-22,,,
FLPK-0026,2,2015-09-22,,,
FLPK-0027,2,2015-09-22,,,
FLPK-0028,2,2015-09-22,,,
FLPK-0029,3,2015-09-24,,,
FLPK-0030,3,2015-09-24,,,
FLPK-0031,3,2015-09-24,,,
FLPK-0032,3,2015-09-24,,,
FLPK-0033,3,2015-09-24,,,
FLPK-0034,3,2015-09-24,,,
FLPK-0035,3,2015-09-24,,,
FLPK-0036,3,2015-09-24,,,
FLPK-0037,3,2015-09-24,,,
FLPK-0038,3,2015-09-24,,,
FLPK-0039,3,2015-09-24,,,
FLPK-0040,3,2015-09-24,,,
FLPK-0041,3,2015-09-24,,,
FLPK-0042,3,2015-09-24,,,
FLPK-0043,3,2015-09-24,,,
FLPK-0044,3,2015-09-24,,,
FLPK-0045,3,2015-09-24,,,
FLPK-0046,3,2015-09-24,,,
FLPK-0047,3,2015-09-24,,,
FLPK-0048,3,2015-09-24,,,
