voucher_number,station_number,phylum,field_identification,morphospecies_match,is_plankton,has_photo,has_voucher,notes,preservative
FLPK-0001,FLPK-ST-001,Arthropoda,Zoea,,1,0,0,,95% EtOH
FLPK-0002,FLPK-ST-001,Mollusca,Velliger,,1,0,0,,95% EtOH
FLPK-0003,FLPK-ST-001,Annelida,Polychaeta,,1,0,0,,95% EtOH
FLPK-0004,FLPK-ST-001,Arthropoda,Zoea,,1,0,0,,95% EtOH
FLPK-0005,FLPK-ST-001,Arthropoda,Arthropoda,,1,0,0,,95% EtOH
FLPK-0006,FLPK-ST-001,Arthropoda,Nauplius,,1,0,0,,95% EtOH
FLPK-0007,FLPK-ST-001,Annelida,Worm,,1,0,0,,95% EtOH
FLPK-0008,FLPK-ST-001,Cnidaria,Hydrozoan,,1,0,0,,95% EtOH
FLPK-0009,FLPK-ST-001,Chordata,Fish,,1,0,0,,95% EtOH
FLPK-0010,FLPK-ST-001,Arthropoda,Copepoda,,1,0,0,,95% EtOH
FLPK-0011,FLPK-ST-001,Annelida,Polychaeta,,1,0,0,,95% EtOH
FLPK-0012,FLPK-ST-001,Mollusca,Bivalvia,,1,0,0,,95% EtOH
FLPK-0013,FLPK-ST-001,Annelida,Polychaeta,,1,0,0,,95% EtOH
FLPK-0014,FLPK-ST-001,Cnidaria,Hydromedusa,,1,0,0,,95% EtOH
FLPK-0015,FLPK-ST-001,Mollusca,Bivalvia,,1,0,0,,95% EtOH
FLPK-0016,FLPK-ST-001,Annelida,Polychaeta,,1,0,0,,95% EtOH
FLPK-0017,FLPK-ST-001,Mollusca,Velliger,,1,0,0,,95% EtOH
FLPK-0018,FLPK-ST-001,Chordata,Tunicata,,1,0,0,,95% EtOH
FLPK-0019,FLPK-ST-001,Cnidaria,Cnidaria,,1,0,0,,95% EtOH
FLPK-0020,FLPK-ST-001,Mollusca,Bivalvia,,1,0,0,,95% EtOH
FLPK-0021,FLPK-ST-001,Chordata,Fish,,1,0,0,,95% EtOH
FLPK-0022,FLPK-ST-001,Cnidaria,Cnidaria,,1,0,0,,95% EtOH
FLPK-0023,FLPK-ST-001,Annelida,Worm,,1,1,0,,95% EtOH
FLPK-0024,FLPK-ST-001,Phoronida,Phoronida,,1,1,0,,95% EtOH
FLPK-0025,FLPK-ST-001,Chordata,Symplegma,,1,1,0,,95% EtOH
FLPK-0026,FLPK-ST-002,Annelida,Polychaeta,,1,0,0,,95% EtOH
FLPK-0027,FLPK-ST-002,Echinodermata,Echinodermata,,1,0,0,,95% EtOH
FLPK-0028,FLPK-ST-002,Echinodermata,Echinodermata,,1,0,0,,95% EtOH
FLPK-0029,FLPK-ST-002,Cnidaria,Hydromedusa,,1,0,0,,95% EtOH
FLPK-0030,FLPK-ST-002,Annelida,Polychaeta,,1,0,0,,95% EtOH
FLPK-0031,FLPK-ST-002,Cnidaria,Hydromedusa,,1,0,0,,95% EtOH
FLPK-0032,FLPK-ST-002,Echinodermata,Echinodermata,,1,0,0,,95% EtOH
FLPK-0033,FLPK-ST-002,Mollusca,Gastropoda,,1,0,0,,95% EtOH
FLPK-0034,FLPK-ST-002,Annelida,Polychaeta,,1,0,0,,95% EtOH
FLPK-0035,FLPK-ST-002,Echinodermata,Echinodermata,,1,0,0,,95% EtOH
FLPK-0036,FLPK-ST-002,Chordata,Fish,,1,0,0,,95% EtOH
FLPK-0037,FLPK-ST-002,Annelida,Polychaeta,,1,0,0,,95% EtOH
FLPK-0038,FLPK-ST-002,Echinodermata,Echinodermata,,1,0,0,,95% EtOH
FLPK-0039,FLPK-ST-002,Echinodermata,Echinodermata,,1,0,0,,95% EtOH
FLPK-0040,FLPK-ST-002,Annelida,Polychaeta,,1,0,0,,95% EtOH
FLPK-0041,FLPK-ST-002,Cnidaria,Cnidaria,,1,0,0,,95% EtOH
FLPK-0042,FLPK-ST-002,Echinodermata,Echinodermata,,1,0,0,,95% EtOH
FLPK-0043,FLPK-ST-002,Annelida,Polychaeta,,1,0,0,,95% EtOH
FLPK-0044,FLPK-ST-002,Annelida,Owenia,,1,0,0,,95% EtOH
FLPK-0045,FLPK-ST-002,Annelida,Owenia,FLPK-0044,1,0,0,,95% EtOH
FLPK-0046,FLPK-ST-002,Echinodermata,Asteroidea,,1,0,0,,95% EtOH
